date,category,allocation
1/1/2015,de,1597702500
1/1/2015,oe,21714210000
1/1/2016,de,1600264400
1/1/2016,oe,21430802000
1/1/2017,de,1338188800
1/1/2017,oe,23462797400
1/1/2018,de,1845055100
1/1/2018,oe,24736883700
1/1/2019,de,2180426200
1/1/2019,oe,26498317300
1/1/2020,de,2660550000
1/1/2020,oe,27941530900
1/1/2021,de,4717819000
1/1/2021,oe,27223685300
1/1/2022,de,4379629800
1/1/2022,oe,28030000000
1/1/2023,de,4827355900
1/1/2023,oe,31500000000
1/1/2024,de,6067634700
1/1/2024,oe,35150181800
