state,district,date,sex,age,population
Johor,Batu Pahat,1/1/2022,female,65-69,0.4
Johor,Batu Pahat,1/1/2022,female,70-74,4.8
Johor,Batu Pahat,1/1/2022,female,70-74,3.1
Johor,Batu Pahat,1/1/2022,female,70-74,0
Johor,Batu Pahat,1/1/2022,female,70-74,1.3
Johor,Batu Pahat,1/1/2022,female,70-74,0.1
Johor,Batu Pahat,1/1/2022,female,70-74,0
Johor,Batu Pahat,1/1/2022,female,70-74,0.3
Johor,Batu Pahat,1/1/2022,female,75-79,2.9
Johor,Batu Pahat,1/1/2022,female,75-79,1.8
Johor,Batu Pahat,1/1/2022,female,75-79,0
Johor,Batu Pahat,1/1/2022,female,75-79,0.9
Johor,Batu Pahat,1/1/2022,female,75-79,0
Johor,Batu Pahat,1/1/2022,female,75-79,0
Johor,Batu Pahat,1/1/2022,female,75-79,0.1
Johor,Batu Pahat,1/1/2022,female,80-84,1.6
Johor,Batu Pahat,1/1/2022,female,80-84,1
Johor,Batu Pahat,1/1/2022,female,80-84,0
Johor,Batu Pahat,1/1/2022,female,80-84,0.5
Johor,Batu Pahat,1/1/2022,female,80-84,0
Johor,Batu Pahat,1/1/2022,female,80-84,0
Johor,Batu Pahat,1/1/2022,female,80-84,0.1
Johor,Batu Pahat,1/1/2022,female,85+,0.9
Johor,Batu Pahat,1/1/2022,female,85+,0.6
Johor,Batu Pahat,1/1/2022,female,85+,0
Johor,Batu Pahat,1/1/2022,female,85+,0.1
Johor,Batu Pahat,1/1/2022,female,85+,0
Johor,Batu Pahat,1/1/2022,female,85+,0
Johor,Batu Pahat,1/1/2022,female,85+,0.1
Johor,Batu Pahat,1/1/2022,male,0-4,14.6
Johor,Batu Pahat,1/1/2022,male,0-4,11
Johor,Batu Pahat,1/1/2022,male,0-4,0.2
Johor,Batu Pahat,1/1/2022,male,0-4,3.1
Johor,Batu Pahat,1/1/2022,male,0-4,0.1
Johor,Batu Pahat,1/1/2022,male,0-4,0
Johor,Batu Pahat,1/1/2022,male,0-4,0
Johor,Batu Pahat,1/1/2022,male,5-9,17.4
Johor,Batu Pahat,1/1/2022,male,5-9,12.1
Johor,Batu Pahat,1/1/2022,male,5-9,0.2
Johor,Batu Pahat,1/1/2022,male,5-9,5
Johor,Batu Pahat,1/1/2022,male,5-9,0.2
Johor,Batu Pahat,1/1/2022,male,5-9,0
Johor,Batu Pahat,1/1/2022,male,5-9,0
Johor,Batu Pahat,1/1/2022,male,10-14,20.4
Johor,Batu Pahat,1/1/2022,male,10-14,13.6
Johor,Batu Pahat,1/1/2022,male,10-14,0.2
Johor,Batu Pahat,1/1/2022,male,10-14,6.3
Johor,Batu Pahat,1/1/2022,male,10-14,0.3
Johor,Batu Pahat,1/1/2022,male,10-14,0
Johor,Batu Pahat,1/1/2022,male,10-14,0
Johor,Batu Pahat,1/1/2022,male,15-19,22
Johor,Batu Pahat,1/1/2022,male,15-19,14.4
Johor,Batu Pahat,1/1/2022,male,15-19,0.2
Johor,Batu Pahat,1/1/2022,male,15-19,5.7
Johor,Batu Pahat,1/1/2022,male,15-19,0.3
Johor,Batu Pahat,1/1/2022,male,15-19,0.2
Johor,Batu Pahat,1/1/2022,male,15-19,1.1
Johor,Batu Pahat,1/1/2022,male,20-24,27.5
Johor,Batu Pahat,1/1/2022,male,20-24,15.6
Johor,Batu Pahat,1/1/2022,male,20-24,0.2
Johor,Batu Pahat,1/1/2022,male,20-24,6.3
Johor,Batu Pahat,1/1/2022,male,20-24,0.4
Johor,Batu Pahat,1/1/2022,male,20-24,0.3
Johor,Batu Pahat,1/1/2022,male,20-24,4.8
Johor,Batu Pahat,1/1/2022,male,25-29,25.7
Johor,Batu Pahat,1/1/2022,male,25-29,13.9
Johor,Batu Pahat,1/1/2022,male,25-29,0.1
Johor,Batu Pahat,1/1/2022,male,25-29,6
Johor,Batu Pahat,1/1/2022,male,25-29,0.3
Johor,Batu Pahat,1/1/2022,male,25-29,0
Johor,Batu Pahat,1/1/2022,male,25-29,5.4
Johor,Batu Pahat,1/1/2022,male,30-34,23.2
Johor,Batu Pahat,1/1/2022,male,30-34,13.6
Johor,Batu Pahat,1/1/2022,male,30-34,0.2
Johor,Batu Pahat,1/1/2022,male,30-34,5.5
Johor,Batu Pahat,1/1/2022,male,30-34,0.3
Johor,Batu Pahat,1/1/2022,male,30-34,0.1
Johor,Batu Pahat,1/1/2022,male,30-34,3.5
Johor,Batu Pahat,1/1/2022,male,35-39,21.8
Johor,Batu Pahat,1/1/2022,male,35-39,13.2
Johor,Batu Pahat,1/1/2022,male,35-39,0.3
Johor,Batu Pahat,1/1/2022,male,35-39,5.5
Johor,Batu Pahat,1/1/2022,male,35-39,0.3
Johor,Batu Pahat,1/1/2022,male,35-39,0.1
Johor,Batu Pahat,1/1/2022,male,35-39,2.5
Johor,Batu Pahat,1/1/2022,male,40-44,18.6
Johor,Batu Pahat,1/1/2022,male,40-44,11.1
Johor,Batu Pahat,1/1/2022,male,40-44,0.2
Johor,Batu Pahat,1/1/2022,male,40-44,5.3
Johor,Batu Pahat,1/1/2022,male,40-44,0.3
Johor,Batu Pahat,1/1/2022,male,40-44,0.1
Johor,Batu Pahat,1/1/2022,male,40-44,1.6
Johor,Batu Pahat,1/1/2022,male,45-49,15.7
Johor,Batu Pahat,1/1/2022,male,45-49,8.9
Johor,Batu Pahat,1/1/2022,male,45-49,0.2
Johor,Batu Pahat,1/1/2022,male,45-49,5
Johor,Batu Pahat,1/1/2022,male,45-49,0.3
Johor,Batu Pahat,1/1/2022,male,45-49,0.1
