state,district,date,sex,age,ethnicity,population
Johor,Kluang,1/1/2022,male,65-69,overall,4.7
Johor,Kluang,1/1/2022,male,70-74,overall,2.8
Johor,Kluang,1/1/2022,male,75-79,overall,1.6
Johor,Kluang,1/1/2022,male,80-84,overall,1
Johor,Kluang,1/1/2022,male,85+,overall,1
Johor,Kota Tinggi,1/1/2022,female,0-4,overall,8.7
Johor,Kota Tinggi,1/1/2022,female,5-9,overall,8.2
Johor,Kota Tinggi,1/1/2022,female,10-14,overall,8.9
Johor,Kota Tinggi,1/1/2022,female,15-19,overall,9
Johor,Kota Tinggi,1/1/2022,female,20-24,overall,9.8
Johor,Kota Tinggi,1/1/2022,female,25-29,overall,8.8
Johor,Kota Tinggi,1/1/2022,female,30-34,overall,8.6
Johor,Kota Tinggi,1/1/2022,female,35-39,overall,8.5
Johor,Kota Tinggi,1/1/2022,female,40-44,overall,7.2
Johor,Kota Tinggi,1/1/2022,female,45-49,overall,5.9
Johor,Kota Tinggi,1/1/2022,female,50-54,overall,5.7
Johor,Kota Tinggi,1/1/2022,female,55-59,overall,5.1
Johor,Kota Tinggi,1/1/2022,female,60-64,overall,4.4
Johor,Kota Tinggi,1/1/2022,female,65-69,overall,3.1
Johor,Kota Tinggi,1/1/2022,female,70-74,overall,1.8
Johor,Kota Tinggi,1/1/2022,female,75-79,overall,1.1
Johor,Kota Tinggi,1/1/2022,female,80-84,overall,0.7
Johor,Kota Tinggi,1/1/2022,female,85+,overall,0.5
Johor,Kota Tinggi,1/1/2022,male,0-4,overall,8.8
Johor,Kota Tinggi,1/1/2022,male,5-9,overall,8.5
Johor,Kota Tinggi,1/1/2022,male,10-14,overall,9.6
Johor,Kota Tinggi,1/1/2022,male,15-19,overall,10.2
Johor,Kota Tinggi,1/1/2022,male,20-24,overall,12.5
Johor,Kota Tinggi,1/1/2022,male,25-29,overall,11.6
Johor,Kota Tinggi,1/1/2022,male,30-34,overall,10.6
Johor,Kota Tinggi,1/1/2022,male,35-39,overall,9.9
Johor,Kota Tinggi,1/1/2022,male,40-44,overall,8.3
Johor,Kota Tinggi,1/1/2022,male,45-49,overall,6.7
Johor,Kota Tinggi,1/1/2022,male,50-54,overall,5.9
Johor,Kota Tinggi,1/1/2022,male,55-59,overall,5.5
Johor,Kota Tinggi,1/1/2022,male,60-64,overall,4.6
Johor,Kota Tinggi,1/1/2022,male,65-69,overall,2.8
Johor,Kota Tinggi,1/1/2022,male,70-74,overall,1.6
Johor,Kota Tinggi,1/1/2022,male,75-79,overall,0.8
Johor,Kota Tinggi,1/1/2022,male,80-84,overall,0.5
Johor,Kota Tinggi,1/1/2022,male,85+,overall,0.5
Johor,Kulai,1/1/2022,female,0-4,overall,9.6
Johor,Kulai,1/1/2022,female,5-9,overall,10.6
Johor,Kulai,1/1/2022,female,10-14,overall,11.8
Johor,Kulai,1/1/2022,female,15-19,overall,12.5
Johor,Kulai,1/1/2022,female,20-24,overall,15
Johor,Kulai,1/1/2022,female,25-29,overall,13.5
